OBJECTID,FID_BANJIR,ID,GRIDCODE,WADMKD,WADMKC,WADMKK,KDEPUM,KDCPUM,KDPKAB,KELAS,SHAPE.AREA,SHAPE.LEN
610,450,451,2,Kemayoran,Kemayoran,Kota Adm. Jakarta Pusat,31.71.03.1001,31.71.03,31.71,Sedang,264934.77300766704,3791.97749879305
611,450,451,2,Kebon Kosong,Kemayoran,Kota Adm. Jakarta Pusat,31.71.03.1002,31.71.03,31.71,Sedang,35075.1392398576,1230.7295357361
612,450,451,2,Harapan Mulia,Kemayoran,Kota Adm. Jakarta Pusat,31.71.03.1003,31.71.03,31.71,Sedang,329259.115903307,3820.0955408073305
613,450,451,2,Serdang,Kemayoran,Kota Adm. Jakarta Pusat,31.71.03.1004,31.71.03,31.71,Sedang,107431.390018131,1644.9532520188202
614,450,451,2,Galur,Johar Baru,Kota Adm. Jakarta Pusat,31.71.08.1003,31.71.08,31.71,Sedang,250906.799887775,2228.4848905436
615,450,451,2,Tanah Tinggi,Johar Baru,Kota Adm. Jakarta Pusat,31.71.08.1004,31.71.08,31.71,Sedang,6115.766688667601,1000.39022558752
616,450,451,2,Penjaringan,Penjaringan,Kota Adm. Jakarta Utara,31.72.01.1001,31.72.01,31.72,Sedang,1300177.44369892,6754.491735813581
617,450,451,2,Pejagalan,Penjaringan,Kota Adm. Jakarta Utara,31.72.01.1004,31.72.01,31.72,Sedang,259741.70588177402,3299.1912933984604
618,450,451,2,Pluit,Penjaringan,Kota Adm. Jakarta Utara,31.72.01.1005,31.72.01,31.72,Sedang,1706560.48544504,12351.0459048265
619,450,451,2,Utan Panjang,Kemayoran,Kota Adm. Jakarta Pusat,31.71.03.1008,31.71.03,31.71,Sedang,286679.515576059,3222.78172131122
620,450,451,2,Senen,Senen,Kota Adm. Jakarta Pusat,31.71.04.1001,31.71.04,31.71,Sedang,690614.87028776,5601.6999731307205
621,450,451,2,Kenari,Senen,Kota Adm. Jakarta Pusat,31.71.04.1002,31.71.04,31.71,Sedang,290322.28563132905,2558.4237519538
622,450,451,2,Paseban,Senen,Kota Adm. Jakarta Pusat,31.71.04.1003,31.71.04,31.71,Sedang,476098.695091928,2997.74621222242
623,450,451,2,Kramat,Senen,Kota Adm. Jakarta Pusat,31.71.04.1004,31.71.04,31.71,Sedang,357485.34534184204,4323.76838659291
624,450,451,2,Kwitang,Senen,Kota Adm. Jakarta Pusat,31.71.04.1005,31.71.04,31.71,Sedang,273798.12344090897,2463.04729934634
625,450,451,2,Bungur,Senen,Kota Adm. Jakarta Pusat,31.71.04.1006,31.71.04,31.71,Sedang,44.4207800476943,33.0577623145143
626,450,451,2,Cempaka Putih Timur,Cempaka Putih,Kota Adm. Jakarta Pusat,31.71.05.1001,31.71.05,31.71,Sedang,1517585.55540798,7007.430145892091
627,450,451,2,Cempaka Putih Barat,Cempaka Putih,Kota Adm. Jakarta Pusat,31.71.05.1002,31.71.05,31.71,Sedang,991361.183588124,9020.72385160777
628,450,451,2,Rawasari,Cempaka Putih,Kota Adm. Jakarta Pusat,31.71.05.1003,31.71.05,31.71,Sedang,852818.484645185,4849.384200989551
629,450,451,2,Kebon Sirih,Menteng,Kota Adm. Jakarta Pusat,31.71.06.1005,31.71.06,31.71,Sedang,8022.55953723,466.329516952806
630,450,451,2,Johar Baru,Johar Baru,Kota Adm. Jakarta Pusat,31.71.08.1001,31.71.08,31.71,Sedang,925974.743645968,5664.3195605148
631,450,451,2,Kampung Rawa,Johar Baru,Kota Adm. Jakarta Pusat,31.71.08.1002,31.71.08,31.71,Sedang,302518.33960095,2946.25775368306
632,450,451,2,Pademangan Barat,Pademangan,Kota Adm. Jakarta Utara,31.72.05.1002,31.72.05,31.72,Sedang,648955.594924205,5366.65417410267
633,450,451,2,Ancol,Pademangan,Kota Adm. Jakarta Utara,31.72.05.1003,31.72.05,31.72,Sedang,204203.99141872898,3653.24915424048
634,450,451,2,Sunter Jaya,Tanjung Priok,Kota Adm. Jakarta Utara,31.72.02.1002,31.72.02,31.72,Sedang,54394.201823216004,1499.05707125842
635,450,451,2,Taman Sari,Taman Sari,Kota Adm. Jakarta Barat,31.73.03.1001,31.73.03,31.73,Sedang,255473.04309679402,3479.92187589396
636,450,451,2,Krukut,Taman Sari,Kota Adm. Jakarta Barat,31.73.03.1002,31.73.03,31.73,Sedang,48056.8133429724,1007.2706198843
637,450,451,2,Maphar,Taman Sari,Kota Adm. Jakarta Barat,31.73.03.1003,31.73.03,31.73,Sedang,41099.358654106,1241.3028379369503
638,450,451,2,Tangki,Taman Sari,Kota Adm. Jakarta Barat,31.73.03.1004,31.73.03,31.73,Sedang,165500.993850949,1799.75703267238
639,450,451,2,Kali Anyar,Tambora,Kota Adm. Jakarta Barat,31.73.04.1002,31.73.04,31.73,Sedang,185956.29328281,2263.45393987333
640,450,451,2,Duri Utara,Tambora,Kota Adm. Jakarta Barat,31.73.04.1003,31.73.04,31.73,Sedang,316898.08832726,3299.68467554892
641,450,451,2,Tanah Sereal,Tambora,Kota Adm. Jakarta Barat,31.73.04.1004,31.73.04,31.73,Sedang,98392.35764311701,2329.1191279594
642,450,451,2,Krendang,Tambora,Kota Adm. Jakarta Barat,31.73.04.1005,31.73.04,31.73,Sedang,168586.041987137,2707.4266416591
643,450,451,2,Jembatan Besi,Tambora,Kota Adm. Jakarta Barat,31.73.04.1006,31.73.04,31.73,Sedang,290149.420984624,2546.51923979126
644,450,451,2,Angke,Tambora,Kota Adm. Jakarta Barat,31.73.04.1007,31.73.04,31.73,Sedang,449886.876955377,2778.57532841167
645,450,451,2,Jembatan Lima,Tambora,Kota Adm. Jakarta Barat,31.73.04.1008,31.73.04,31.73,Sedang,112653.910561097,1459.59409476034
646,450,451,2,Duri Selatan,Tambora,Kota Adm. Jakarta Barat,31.73.04.1011,31.73.04,31.73,Sedang,364633.377502361,2804.2215611221004
647,450,451,2,Utan Kayu Utara,Matraman,Kota Adm. Jakarta Timur,31.75.01.1002,31.75.01,31.75,Sedang,149932.888865561,2134.5874241815
648,450,451,2,Kayu Putih,Pulogadung,Kota Adm. Jakarta Timur,31.75.02.1006,31.75.02,31.75,Sedang,972.6405598995631,529.804470917584
649,451,452,2,Utan Kayu Utara,Matraman,Kota Adm. Jakarta Timur,31.75.01.1002,31.75.01,31.75,Sedang,9999.99999960358,399.99999999207205
650,452,453,2,Jatinegara,Cakung,Kota Adm. Jakarta Timur,31.75.06.1001,31.75.06,31.75,Sedang,5176.148510920841,386.100144401618
651,452,453,2,Rawa Terate,Cakung,Kota Adm. Jakarta Timur,31.75.06.1002,31.75.06,31.75,Sedang,1670.66132324324,221.38834449558502
652,453,454,3,Pulo Gebang,Cakung,Kota Adm. Jakarta Timur,31.75.06.1005,31.75.06,31.75,Berat,10000.0000009447,400.000000018893
653,454,455,2,Pulo Gebang,Cakung,Kota Adm. Jakarta Timur,31.75.06.1005,31.75.06,31.75,Sedang,6403.80859391326,374.98004147791
654,455,456,2,Kebon Jeruk,Kebon Jeruk,Kota Adm. Jakarta Barat,31.73.05.1001,31.73.05,31.73,Sedang,584532.709818623,4393.024504593211
655,455,456,2,Duri Kepa,Kebon Jeruk,Kota Adm. Jakarta Barat,31.73.05.1005,31.73.05,31.73,Sedang,496491.934677337,3887.10701063696
656,455,456,2,Kedoya Utara,Kebon Jeruk,Kota Adm. Jakarta Barat,31.73.05.1006,31.73.05,31.73,Sedang,86521.0036127062,2137.69209988576
657,455,456,2,Kedoya Selatan,Kebon Jeruk,Kota Adm. Jakarta Barat,31.73.05.1007,31.73.05,31.73,Sedang,1163425.06041416,6470.600064238591
658,456,457,2,Kebon Jeruk,Kebon Jeruk,Kota Adm. Jakarta Barat,31.73.05.1001,31.73.05,31.73,Sedang,69465.3320339482,1171.9449287058299
659,457,458,2,Rawamangun,Pulogadung,Kota Adm. Jakarta Timur,31.75.02.1005,31.75.02,31.75,Sedang,381498.660056448,2975.77535961183
660,457,458,2,Utan Kayu Utara,Matraman,Kota Adm. Jakarta Timur,31.75.01.1002,31.75.01,31.75,Sedang,100662.292818047,1354.38540217968
661,458,459,3,Jatinegara,Cakung,Kota Adm. Jakarta Timur,31.75.06.1001,31.75.06,31.75,Berat,13498.0022169999,567.367255443383
662,459,460,2,Kebon Jeruk,Kebon Jeruk,Kota Adm. Jakarta Barat,31.73.05.1001,31.73.05,31.73,Sedang,6846.86206311114,377.29320989306103
663,460,461,2,Kenari,Senen,Kota Adm. Jakarta Pusat,31.71.04.1002,31.71.04,31.71,Sedang,131422.87008152698,1677.47526022641
664,460,461,2,Pegangsaan,Menteng,Kota Adm. Jakarta Pusat,31.71.06.1002,31.71.06,31.71,Sedang,3462.12680110369,271.744436512415
665,461,462,2,Jatinegara Kaum,Pulogadung,Kota Adm. Jakarta Timur,31.75.02.1004,31.75.02,31.75,Sedang,38996.9914043235,954.47804216395
666,461,462,2,Jatinegara,Cakung,Kota Adm. Jakarta Timur,31.75.06.1001,31.75.06,31.75,Sedang,23357.6389707386,865.187924155803
667,462,463,2,Jatinegara,Cakung,Kota Adm. Jakarta Timur,31.75.06.1001,31.75.06,31.75,Sedang,6846.8098336653,377.291876961839
668,463,464,2,Meruya Utara,Kembangan,Kota Adm. Jakarta Barat,31.73.08.1002,31.73.08,31.73,Sedang,417422.876207843,3153.41446010274
669,463,464,2,Meruya Selatan,Kembangan,Kota Adm. Jakarta Barat,31.73.08.1003,31.73.08,31.73,Sedang,4377.834895835541,284.89827729149005
