OBJECTID,FID_BANJIR,ID,GRIDCODE,kelurahan,kecamatan,kota_administrasi,kode_kelurahan,kode_kecamatan,kode_kota,risk_class,shape_area,shape_len,city,baseline_score
1672,1057,1058,3,SENEN,SENEN,KOTA ADM. JAKARTA PUSAT,31.71.04.1001,31.71.04,31.71,BERAT,8505.54129158693,401.222125562716,JAKARTA PUSAT,0.9
1673,1057,1058,3,KENARI,SENEN,KOTA ADM. JAKARTA PUSAT,31.71.04.1002,31.71.04,31.71,BERAT,319700.064799897,6274.71021918316,JAKARTA PUSAT,0.9
1674,1057,1058,3,PASEBAN,SENEN,KOTA ADM. JAKARTA PUSAT,31.71.04.1003,31.71.04,31.71,BERAT,3384.87499699138,320.722636507101,JAKARTA PUSAT,0.9
1675,1057,1058,3,KWITANG,SENEN,KOTA ADM. JAKARTA PUSAT,31.71.04.1005,31.71.04,31.71,BERAT,174371.791117707,2453.86222139318,JAKARTA PUSAT,0.9
1676,1057,1058,3,MENTENG,MENTENG,KOTA ADM. JAKARTA PUSAT,31.71.06.1001,31.71.06,31.71,BERAT,1082552.55631023,10233.8952698035,JAKARTA PUSAT,0.9
1677,1057,1058,3,PEGANGSAAN,MENTENG,KOTA ADM. JAKARTA PUSAT,31.71.06.1002,31.71.06,31.71,BERAT,721546.655654207,5944.468317495171,JAKARTA PUSAT,0.9
1678,1057,1058,3,CIKINI,MENTENG,KOTA ADM. JAKARTA PUSAT,31.71.06.1003,31.71.06,31.71,BERAT,491447.894580606,4360.664730094861,JAKARTA PUSAT,0.9
1679,1057,1058,3,GONDANGDIA,MENTENG,KOTA ADM. JAKARTA PUSAT,31.71.06.1004,31.71.06,31.71,BERAT,606120.883407792,5977.4584263223605,JAKARTA PUSAT,0.9
1680,1057,1058,3,KEBON SIRIH,MENTENG,KOTA ADM. JAKARTA PUSAT,31.71.06.1005,31.71.06,31.71,BERAT,768508.622118914,5881.60359336481,JAKARTA PUSAT,0.9
1681,1057,1058,3,GELORA,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,31.71.07.1001,31.71.07,31.71,BERAT,1014147.55381285,10125.5244729574,JAKARTA PUSAT,0.9
1682,1057,1058,3,BENDUNGAN HILIR,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,31.71.07.1002,31.71.07,31.71,BERAT,1001429.36191626,6217.78892313306,JAKARTA PUSAT,0.9
1683,1057,1058,3,KARET TENGSIN,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,31.71.07.1003,31.71.07,31.71,BERAT,668215.646483878,7067.91790525021,JAKARTA PUSAT,0.9
1684,1057,1058,3,PETAMBURAN,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,31.71.07.1004,31.71.07,31.71,BERAT,200454.915131193,2670.24871374123,JAKARTA PUSAT,0.9
1685,1057,1058,3,KEBON MELATI,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,31.71.07.1005,31.71.07,31.71,BERAT,1026455.83397327,6793.47354978593,JAKARTA PUSAT,0.9
1686,1057,1058,3,KEBON KACANG,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,31.71.07.1006,31.71.07,31.71,BERAT,616048.496434004,4095.9498845265903,JAKARTA PUSAT,0.9
1687,1057,1058,3,KAMPUNG BALI,TANAH ABANG,KOTA ADM. JAKARTA PUSAT,31.71.07.1007,31.71.07,31.71,BERAT,651431.589952033,4185.91921526634,JAKARTA PUSAT,0.9
1688,1057,1058,3,GROGOL,GROGOL PETAMBURAN,KOTA ADM. JAKARTA BARAT,31.73.02.1001,31.73.02,31.73,BERAT,984815.296823368,5684.80841848883,JAKARTA BARAT,0.9
1689,1057,1058,3,TANJUNG DUREN UTARA,GROGOL PETAMBURAN,KOTA ADM. JAKARTA BARAT,31.73.02.1002,31.73.02,31.73,BERAT,1290237.84572551,7070.381098352041,JAKARTA BARAT,0.9
1690,1057,1058,3,TOMANG,GROGOL PETAMBURAN,KOTA ADM. JAKARTA BARAT,31.73.02.1003,31.73.02,31.73,BERAT,1277269.66542394,8048.309960252001,JAKARTA BARAT,0.9
1691,1057,1058,3,CENGKARENG BARAT,CENGKARENG,KOTA ADM. JAKARTA BARAT,31.73.01.1001,31.73.01,31.73,BERAT,2337462.91060438,14712.3956817603,JAKARTA BARAT,0.9
1692,1057,1058,3,DURI KOSAMBI,CENGKARENG,KOTA ADM. JAKARTA BARAT,31.73.01.1002,31.73.01,31.73,BERAT,4665283.69650657,15971.6333941729,JAKARTA BARAT,0.9
1693,1057,1058,3,RAWA BUAYA,CENGKARENG,KOTA ADM. JAKARTA BARAT,31.73.01.1003,31.73.01,31.73,BERAT,3743581.90139443,11211.8127735872,JAKARTA BARAT,0.9
1694,1057,1058,3,KEDAUNG KALI ANGKE,CENGKARENG,KOTA ADM. JAKARTA BARAT,31.73.01.1004,31.73.01,31.73,BERAT,1672643.45269887,11780.0614098752,JAKARTA BARAT,0.9
1695,1057,1058,3,KAPUK,CENGKARENG,KOTA ADM. JAKARTA BARAT,31.73.01.1005,31.73.01,31.73,BERAT,3518234.17258618,22561.9709289456,JAKARTA BARAT,0.9
1696,1057,1058,3,CENGKARENG TIMUR,CENGKARENG,KOTA ADM. JAKARTA BARAT,31.73.01.1006,31.73.01,31.73,BERAT,2453779.29266187,17612.3877738139,JAKARTA BARAT,0.9
1697,1057,1058,3,SUKABUMI UTARA,KEBON JERUK,KOTA ADM. JAKARTA BARAT,31.73.05.1002,31.73.05,31.73,BERAT,184626.336324895,4085.3524309602303,JAKARTA BARAT,0.9
1698,1057,1058,3,JELAMBAR,GROGOL PETAMBURAN,KOTA ADM. JAKARTA BARAT,31.73.02.1004,31.73.02,31.73,BERAT,875637.2185836739,4288.94638692309,JAKARTA BARAT,0.9
1699,1057,1058,3,TANJUNG DUREN SELATAN,GROGOL PETAMBURAN,KOTA ADM. JAKARTA BARAT,31.73.02.1005,31.73.02,31.73,BERAT,1164471.14497248,7164.163063339411,JAKARTA BARAT,0.9
1700,1057,1058,3,JELAMBAR BARU,GROGOL PETAMBURAN,KOTA ADM. JAKARTA BARAT,31.73.02.1006,31.73.02,31.73,BERAT,453035.138819169,6406.937207292211,JAKARTA BARAT,0.9
1701,1057,1058,3,WIJAYA KUSUMA,GROGOL PETAMBURAN,KOTA ADM. JAKARTA BARAT,31.73.02.1007,31.73.02,31.73,BERAT,1331393.75189748,7687.84080860884,JAKARTA BARAT,0.9
1702,1057,1058,3,KALI ANYAR,TAMBORA,KOTA ADM. JAKARTA BARAT,31.73.04.1002,31.73.04,31.73,BERAT,122914.404826689,2066.1473304453903,JAKARTA BARAT,0.9
1703,1057,1058,3,JEMBATAN BESI,TAMBORA,KOTA ADM. JAKARTA BARAT,31.73.04.1006,31.73.04,31.73,BERAT,239156.459170159,2264.824869259,JAKARTA BARAT,0.9
1704,1057,1058,3,ANGKE,TAMBORA,KOTA ADM. JAKARTA BARAT,31.73.04.1007,31.73.04,31.73,BERAT,317679.845712292,3431.53911216482,JAKARTA BARAT,0.9
1705,1057,1058,3,DURI SELATAN,TAMBORA,KOTA ADM. JAKARTA BARAT,31.73.04.1011,31.73.04,31.73,BERAT,15786.618502085,876.7810449070221,JAKARTA BARAT,0.9
1706,1057,1058,3,KEBON JERUK,KEBON JERUK,KOTA ADM. JAKARTA BARAT,31.73.05.1001,31.73.05,31.73,BERAT,1331353.45752343,13073.2932021885,JAKARTA BARAT,0.9
1707,1057,1058,3,KEMANGGISAN,PAL MERAH,KOTA ADM. JAKARTA BARAT,31.73.07.1005,31.73.07,31.73,BERAT,1217772.66058136,9722.770268093482,JAKARTA BARAT,0.9
1708,1057,1058,3,KOTA BAMBU SELATAN,PAL MERAH,KOTA ADM. JAKARTA BARAT,31.73.07.1006,31.73.07,31.73,BERAT,370901.60402778303,4713.52111766166,JAKARTA BARAT,0.9
1709,1057,1058,3,KEMBANGAN UTARA,KEMBANGAN,KOTA ADM. JAKARTA BARAT,31.73.08.1001,31.73.08,31.73,BERAT,3632029.98902095,17526.4343448757,JAKARTA BARAT,0.9
1710,1057,1058,3,MERUYA UTARA,KEMBANGAN,KOTA ADM. JAKARTA BARAT,31.73.08.1002,31.73.08,31.73,BERAT,2147959.42419181,14640.0426816633,JAKARTA BARAT,0.9
1711,1057,1058,3,MERUYA SELATAN,KEMBANGAN,KOTA ADM. JAKARTA BARAT,31.73.08.1003,31.73.08,31.73,BERAT,748985.865049731,9564.11114013311,JAKARTA BARAT,0.9
1712,1057,1058,3,SRENGSENG,KEMBANGAN,KOTA ADM. JAKARTA BARAT,31.73.08.1004,31.73.08,31.73,BERAT,3166673.08543157,17013.4209842144,JAKARTA BARAT,0.9
1713,1057,1058,3,JOGLO,KEMBANGAN,KOTA ADM. JAKARTA BARAT,31.73.08.1005,31.73.08,31.73,BERAT,1059492.3759837,9156.62865347795,JAKARTA BARAT,0.9
1714,1057,1058,3,KEMBANGAN SELATAN,KEMBANGAN,KOTA ADM. JAKARTA BARAT,31.73.08.1006,31.73.08,31.73,BERAT,4172498.76569789,18252.5417478533,JAKARTA BARAT,0.9
1715,1057,1058,3,KEBON BARU,TEBET,KOTA ADM. JAKARTA SELATAN,31.74.01.1004,31.74.01,31.74,BERAT,788068.853503702,8870.523040045171,JAKARTA SELATAN,0.9
